日付,コード,市場・商品区分,33業種区分,銘柄名称,現在値,出来高,売買代金,時価総額,逆日歩,信用倍率,貸借倍率,決算発表日,PER,PBR,配当,配当落日,中配落日,権利落日,四季報,株探,ミンカブ,株予報,ヤフー
20231229.0,3946,プライム（内国株式）,パルプ・紙,トーモク,2248.0,30200.0,68285.0,43479.0,0.0,48.39,48.0,2024/1/31,5.27,0.44,70.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/3946,https://kabutan.jp/stock/?code=3946,https://minkabu.jp/stock/3946,https://kabuyoho.jp/reportAnalyst?bcode=3946,https://finance.yahoo.co.jp/quote/3946
20231229.0,3947,スタンダード（内国株式）,パルプ・紙,ダイナパック,1488.0,4100.0,6140.0,15360.0,0.0,0,0.0,2024/2/8,9.13,0.35,60.0,2024/12/27,2024/6/27,,https://shikiho.toyokeizai.net/stocks/3947,https://kabutan.jp/stock/?code=3947,https://minkabu.jp/stock/3947,https://kabuyoho.jp/reportAnalyst?bcode=3947,https://finance.yahoo.co.jp/quote/3947
20231229.0,3948,スタンダード（内国株式）,パルプ・紙,光ビジネスフオーム,889.0,21600.0,19235.0,5169.0,0.0,0,0.0,2024/2/13,5.9,0.54,35.0,2024/12/27,,,https://shikiho.toyokeizai.net/stocks/3948,https://kabutan.jp/stock/?code=3948,https://minkabu.jp/stock/3948,https://kabuyoho.jp/reportAnalyst?bcode=3948,https://finance.yahoo.co.jp/quote/3948
20231229.0,3950,プライム（内国株式）,パルプ・紙,ザ・パック,3280.0,15700.0,51755.0,65272.0,0.05,0.77,0.05,2024/2/9,12.48,0.92,78.0,2024/12/27,2024/6/27,,https://shikiho.toyokeizai.net/stocks/3950,https://kabutan.jp/stock/?code=3950,https://minkabu.jp/stock/3950,https://kabuyoho.jp/reportAnalyst?bcode=3950,https://finance.yahoo.co.jp/quote/3950
20231229.0,3951,スタンダード（内国株式）,パルプ・紙,朝日印刷,905.0,36400.0,32866.0,21072.0,0.0,642,0.8,2024/2/13,10.82,0.59,35.0,2024/3/28,2024/9/27,2017/12/27,https://shikiho.toyokeizai.net/stocks/3951,https://kabutan.jp/stock/?code=3951,https://minkabu.jp/stock/3951,https://kabuyoho.jp/reportAnalyst?bcode=3951,https://finance.yahoo.co.jp/quote/3951
20231229.0,3953,スタンダード（内国株式）,パルプ・紙,大村紙業,825.0,27000.0,22618.0,2938.0,0.0,0,0.0,2024/2/13,13.98,0.59,30.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/3953,https://kabutan.jp/stock/?code=3953,https://minkabu.jp/stock/3953,https://kabuyoho.jp/reportAnalyst?bcode=3953,https://finance.yahoo.co.jp/quote/3953
20231229.0,3954,スタンダード（内国株式）,パルプ・紙,昭和パックス,1745.0,600.0,1047.0,7765.0,0.0,0,0.0,2024/2/8,10.06,0.36,40.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/3954,https://kabutan.jp/stock/?code=3954,https://minkabu.jp/stock/3954,https://kabuyoho.jp/reportAnalyst?bcode=3954,https://finance.yahoo.co.jp/quote/3954
20231229.0,3955,スタンダード（内国株式）,パルプ・紙,イムラ,1255.0,37000.0,46482.0,13465.0,0.05,5.07,0.06,2023/12/12,8.68,0.8,35.0,2024/1/30,2024/7/30,,https://shikiho.toyokeizai.net/stocks/3955,https://kabutan.jp/stock/?code=3955,https://minkabu.jp/stock/3955,https://kabuyoho.jp/reportAnalyst?bcode=3955,https://finance.yahoo.co.jp/quote/3955
20231229.0,3958,スタンダード（内国株式）,パルプ・紙,笹徳印刷,573.0,26200.0,14957.0,3544.0,0.0,0,0.0,2024/2/14,9.42,0.34,18.0,2024/6/27,2024/12/27,,https://shikiho.toyokeizai.net/stocks/3958,https://kabutan.jp/stock/?code=3958,https://minkabu.jp/stock/3958,https://kabuyoho.jp/reportAnalyst?bcode=3958,https://finance.yahoo.co.jp/quote/3958
20231229.0,3961,グロース（内国株式）,情報・通信業,シルバーエッグ・テクノロジ,755.0,7100.0,5375.0,2240.0,0.0,0,0.0,2024/2/9,31.99,1.64,0.0,2024/12/27,2024/6/27,,https://shikiho.toyokeizai.net/stocks/3961,https://kabutan.jp/stock/?code=3961,https://minkabu.jp/stock/3961,https://kabuyoho.jp/reportAnalyst?bcode=3961,https://finance.yahoo.co.jp/quote/3961
20231229.0,3962,プライム（内国株式）,情報・通信業,チェンジホールディングス,1404.0,611000.0,854011.0,102462.0,0.0,45.98,259.55,-,12.39,2.61,12.5,2024/3/28,2024/9/27,2020/12/29,https://shikiho.toyokeizai.net/stocks/3962,https://kabutan.jp/stock/?code=3962,https://minkabu.jp/stock/3962,https://kabuyoho.jp/reportAnalyst?bcode=3962,https://finance.yahoo.co.jp/quote/3962
20231229.0,3963,プライム（内国株式）,情報・通信業,シンクロ・フード,608.0,280100.0,171031.0,16351.0,0.0,10.14,0.19,2024/2/14,23.2,4.2,10.0,2024/3/28,2024/9/27,2018/3/28,https://shikiho.toyokeizai.net/stocks/3963,https://kabutan.jp/stock/?code=3963,https://minkabu.jp/stock/3963,https://kabuyoho.jp/reportAnalyst?bcode=3963,https://finance.yahoo.co.jp/quote/3963
20231229.0,3964,プライム（内国株式）,情報・通信業,オークネット,1892.0,34100.0,64772.0,46851.0,0.0,8.71,8.41,2024/2/14,10.65,2.12,51.0,2024/12/27,2024/6/27,,https://shikiho.toyokeizai.net/stocks/3964,https://kabutan.jp/stock/?code=3964,https://minkabu.jp/stock/3964,https://kabuyoho.jp/reportAnalyst?bcode=3964,https://finance.yahoo.co.jp/quote/3964
20231229.0,3965,スタンダード（内国株式）,情報・通信業,キャピタル・アセット・プラン,756.0,29400.0,22674.0,4329.0,0.0,0,0.0,2024/2/9,18.85,1.4,15.0,2024/9/27,2024/3/28,2019/2/26,https://shikiho.toyokeizai.net/stocks/3965,https://kabutan.jp/stock/?code=3965,https://minkabu.jp/stock/3965,https://kabuyoho.jp/reportAnalyst?bcode=3965,https://finance.yahoo.co.jp/quote/3965
20231229.0,3967,グロース（内国株式）,情報・通信業,エルテス,798.0,68600.0,54908.0,4844.0,0.0,0,0.0,2024/1/12,48.07,2.08,0.0,2024/2/28,2024/8/29,2017/5/29,https://shikiho.toyokeizai.net/stocks/3967,https://kabutan.jp/stock/?code=3967,https://minkabu.jp/stock/3967,https://kabuyoho.jp/reportAnalyst?bcode=3967,https://finance.yahoo.co.jp/quote/3967
20231229.0,3968,プライム（内国株式）,情報・通信業,セグエグループ,899.0,43700.0,39437.0,10534.0,0.0,55.28,87.0,2024/2/13,14.83,2.61,30.0,2024/12/27,2024/6/27,2019/11/28,https://shikiho.toyokeizai.net/stocks/3968,https://kabutan.jp/stock/?code=3968,https://minkabu.jp/stock/3968,https://kabuyoho.jp/reportAnalyst?bcode=3968,https://finance.yahoo.co.jp/quote/3968
20231229.0,3969,スタンダード（内国株式）,情報・通信業,エイトレッド,1414.0,13400.0,19061.0,10587.0,0.0,2245,0.0,-,14.11,2.48,26.0,2024/3/28,2024/9/27,2017/12/13,https://shikiho.toyokeizai.net/stocks/3969,https://kabutan.jp/stock/?code=3969,https://minkabu.jp/stock/3969,https://kabuyoho.jp/reportAnalyst?bcode=3969,https://finance.yahoo.co.jp/quote/3969
20231229.0,3970,グロース（内国株式）,情報・通信業,イノベーション,1336.0,3800.0,5099.0,3483.0,0.0,0,0.0,2024/2/9,10.11,1.04,27.0,2024/3/28,2024/9/27,2017/6/28,https://shikiho.toyokeizai.net/stocks/3970,https://kabutan.jp/stock/?code=3970,https://minkabu.jp/stock/3970,https://kabuyoho.jp/reportAnalyst?bcode=3970,https://finance.yahoo.co.jp/quote/3970
20231229.0,3974,スタンダード（内国株式）,情報・通信業,ＳＣＡＴ,500.0,3100.0,1544.0,2620.0,0.0,0,0.0,2023/12/14,8.62,0.74,9.5,2024/10/30,2024/4/26,2021/4/28,https://shikiho.toyokeizai.net/stocks/3974,https://kabutan.jp/stock/?code=3974,https://minkabu.jp/stock/3974,https://kabuyoho.jp/reportAnalyst?bcode=3974,https://finance.yahoo.co.jp/quote/3974
20231229.0,3976,グロース（内国株式）,情報・通信業,シャノン,435.0,11500.0,4948.0,1380.0,0.0,0,0.0,2023/12/12,135.93,35.8,0.0,2024/10/30,2024/4/26,2021/4/28,https://shikiho.toyokeizai.net/stocks/3976,https://kabutan.jp/stock/?code=3976,https://minkabu.jp/stock/3976,https://kabuyoho.jp/reportAnalyst?bcode=3976,https://finance.yahoo.co.jp/quote/3976
20231229.0,3978,プライム（内国株式）,情報・通信業,マクロミル,801.0,87700.0,70703.0,32424.0,0.0,205.11,0.0,2024/2/14,9.56,0.81,25.0,2024/6/27,2024/12/27,,https://shikiho.toyokeizai.net/stocks/3978,https://kabutan.jp/stock/?code=3978,https://minkabu.jp/stock/3978,https://kabuyoho.jp/reportAnalyst?bcode=3978,https://finance.yahoo.co.jp/quote/3978
20231229.0,3979,グロース（内国株式）,情報・通信業,うるる,1644.0,20700.0,33986.0,11385.0,0.0,0,0.0,2024/2/14,14.22,4.7,35.0,2024/3/28,2024/9/27,2021/9/29,https://shikiho.toyokeizai.net/stocks/3979,https://kabutan.jp/stock/?code=3979,https://minkabu.jp/stock/3979,https://kabuyoho.jp/reportAnalyst?bcode=3979,https://finance.yahoo.co.jp/quote/3979
20231229.0,3981,スタンダード（内国株式）,情報・通信業,ビーグリー,1206.0,39100.0,46845.0,7530.0,0.0,459.2,0.0,2024/2/14,8.52,1.09,15.0,2024/12/27,2024/6/27,,https://shikiho.toyokeizai.net/stocks/3981,https://kabutan.jp/stock/?code=3981,https://minkabu.jp/stock/3981,https://kabuyoho.jp/reportAnalyst?bcode=3981,https://finance.yahoo.co.jp/quote/3981
20231229.0,3983,プライム（内国株式）,情報・通信業,オロ,2901.0,40600.0,117764.0,46869.0,0.05,1.22,0.86,2024/2/14,28.35,5.92,30.0,2024/12/27,2024/6/27,2019/5/29,https://shikiho.toyokeizai.net/stocks/3983,https://kabutan.jp/stock/?code=3983,https://minkabu.jp/stock/3983,https://kabuyoho.jp/reportAnalyst?bcode=3983,https://finance.yahoo.co.jp/quote/3983
20231229.0,3984,プライム（内国株式）,情報・通信業,ユーザーローカル,1841.0,177600.0,325539.0,29751.0,0.0,0,0.0,2024/2/7,26.83,4.63,5.0,2024/6/27,2024/12/27,2021/6/29,https://shikiho.toyokeizai.net/stocks/3984,https://kabutan.jp/stock/?code=3984,https://minkabu.jp/stock/3984,https://kabuyoho.jp/reportAnalyst?bcode=3984,https://finance.yahoo.co.jp/quote/3984
20231229.0,3985,スタンダード（内国株式）,情報・通信業,テモナ,281.0,3365800.0,1018934.0,3210.0,0.0,0,0.0,-,25.08,2.84,0.0,2024/9/27,2024/3/28,2018/9/26,https://shikiho.toyokeizai.net/stocks/3985,https://kabutan.jp/stock/?code=3985,https://minkabu.jp/stock/3985,https://kabuyoho.jp/reportAnalyst?bcode=3985,https://finance.yahoo.co.jp/quote/3985
20231229.0,3986,グロース（内国株式）,情報・通信業,ビーブレイクシステムズ,1420.0,1400.0,1998.0,2182.0,0.0,0,0.0,-,12.71,1.41,15.0,2024/6/27,2024/12/27,,https://shikiho.toyokeizai.net/stocks/3986,https://kabutan.jp/stock/?code=3986,https://minkabu.jp/stock/3986,https://kabuyoho.jp/reportAnalyst?bcode=3986,https://finance.yahoo.co.jp/quote/3986
20231229.0,3987,グロース（内国株式）,情報・通信業,エコモット,575.0,113000.0,64077.0,3034.0,0.0,12.7,247.0,2024/1/12,60.52,3.24,0.0,2024/8/29,2024/2/28,,https://shikiho.toyokeizai.net/stocks/3987,https://kabutan.jp/stock/?code=3987,https://minkabu.jp/stock/3987,https://kabuyoho.jp/reportAnalyst?bcode=3987,https://finance.yahoo.co.jp/quote/3987
20231229.0,3988,スタンダード（内国株式）,情報・通信業,ＳＹＳホールディングス,912.0,4500.0,4118.0,4795.0,0.0,0,0.0,2023/12/12,11.64,1.63,8.5,2024/7/30,2024/1/30,2022/1/28,https://shikiho.toyokeizai.net/stocks/3988,https://kabutan.jp/stock/?code=3988,https://minkabu.jp/stock/3988,https://kabuyoho.jp/reportAnalyst?bcode=3988,https://finance.yahoo.co.jp/quote/3988
20231229.0,3989,グロース（内国株式）,情報・通信業,シェアリングテクノロジー,510.0,964300.0,484649.0,11548.0,0.0,0,0.0,-,6.64,5.26,0.0,2024/9/27,2024/3/28,2018/8/1,https://shikiho.toyokeizai.net/stocks/3989,https://kabutan.jp/stock/?code=3989,https://minkabu.jp/stock/3989,https://kabuyoho.jp/reportAnalyst?bcode=3989,https://finance.yahoo.co.jp/quote/3989
20231229.0,3990,グロース（内国株式）,情報・通信業,ＵＵＵＭ,439.0,47800.0,21158.0,8770.0,0.0,4917,0.0,2024/1/12,30.06,2.63,0.0,2024/9/27,,2018/9/26,https://shikiho.toyokeizai.net/stocks/3990,https://kabutan.jp/stock/?code=3990,https://minkabu.jp/stock/3990,https://kabuyoho.jp/reportAnalyst?bcode=3990,https://finance.yahoo.co.jp/quote/3990
